Description,epoch,train_loss,train_accuracy,test_accuracy
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",25,1.63815554022789,45.9,40.300000000000004
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",26,1.598337734937668,47.099999999999994,41.4
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",27,1.5609122622013092,47.0,41.3
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",28,1.578267093896866,47.099999999999994,41.3
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",29,1.568139638900757,47.099999999999994,41.199999999999996
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",30,1.563727992773056,47.199999999999996,41.4
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",31,1.6007383012771605,47.4,41.4
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",32,1.5906820726394653,47.199999999999996,41.4
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",33,1.5642592668533326,47.199999999999996,41.4
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",34,1.5849739158153533,47.199999999999996,41.099999999999994
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",35,1.5413914251327514,47.199999999999996,41.4
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",36,1.577861828804016,47.3,41.5
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",37,1.5692320954799652,47.099999999999994,41.5
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",38,1.5738454353809357,47.099999999999994,41.4
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",39,1.5518531918525695,47.099999999999994,41.199999999999996
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",40,1.5803993582725524,47.199999999999996,41.4
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",41,1.5681522929668426,47.199999999999996,41.3
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",42,1.5907772421836852,47.099999999999994,41.4
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",43,1.5969223654270173,47.099999999999994,41.199999999999996
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",44,1.571684421300888,47.099999999999994,41.199999999999996
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",45,1.5948451113700868,47.199999999999996,41.099999999999994
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",46,1.5560636162757873,47.3,41.3
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",47,1.5799196207523345,47.199999999999996,41.3
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",48,1.5857117187976837,47.3,41.4
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",49,1.5846219789981841,47.3,41.4
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",50,1.5723502075672149,47.199999999999996,41.199999999999996
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",51,1.581198741197586,47.4,41.4
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",52,1.5825909304618835,47.4,41.4
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",53,1.5539021492004395,47.3,41.4
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",54,1.5442671310901641,47.4,41.5
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",55,1.5966097843647002,47.3,41.5
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",56,1.5601440978050232,47.3,41.5
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",57,1.556704602241516,47.3,41.4
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",58,1.5725260603427886,47.3,41.5
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",59,1.5791809660196305,47.3,41.4
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",60,1.5586779475212098,47.3,41.4
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",61,1.5646042823791504,47.3,41.4
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",62,1.5915391147136688,47.3,41.4
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",63,1.5746658515930176,47.3,41.4
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",64,1.5927893424034119,47.3,41.5
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",65,1.5660002303123475,47.3,41.4
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",66,1.5555820989608764,47.4,41.4
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",67,1.5737639582157135,47.3,41.5
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",68,1.567239567041397,47.3,41.4
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",69,1.5964254415035248,47.3,41.4
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",70,1.6005640184879304,47.4,41.5
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",71,1.567240641117096,47.3,41.4
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",72,1.5509104597568513,47.3,41.5
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",73,1.568134639263153,47.3,41.4
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",74,1.586102329492569,47.3,41.5
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",75,1.5631283473968507,47.4,41.5
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",76,1.5466099607944488,47.3,41.5
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",77,1.5575271475315093,47.3,41.5
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",78,1.5968762695789338,47.3,41.4
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",79,1.539952473640442,47.3,41.5
"Starting LR:0.01, L2Reg:1e-05, Batch Size:32",80,1.5642455852031707,47.3,41.5
Description,epoch,train_loss,train_accuracy,test_accuracy
"Starting LR:0.01, L2Reg:1e-05, Batch Size:64",1,1.7795810985565186,38.9,38.7
"Starting LR:0.01, L2Reg:1e-05, Batch Size:64",2,1.7598826479911804,40.9,40.300000000000004
"Starting LR:0.01, L2Reg:1e-05, Batch Size:64",3,1.7441648387908935,41.5,39.5
"Starting LR:0.01, L2Reg:1e-05, Batch Size:64",4,1.7134662926197053,42.4,40.300000000000004
"Starting LR:0.01, L2Reg:1e-05, Batch Size:64",5,1.6990362119674682,42.9,40.2
"Starting LR:0.01, L2Reg:1e-05, Batch Size:64",6,1.7009782207012176,43.4,40.6
