Description,epoch,train_loss,train_accuracy,test_accuracy
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",38,0.464645599797368,83.39999999999999,83.39999999999999
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",39,0.47402951046824454,83.5,83.5
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",40,0.48460628464818,83.5,83.5
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",41,0.4936019419878721,83.5,83.39999999999999
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",42,0.475441702529788,83.5,83.39999999999999
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",43,0.4501510675251484,83.5,83.5
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",44,0.5146573539078235,83.5,83.39999999999999
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",45,0.4749515071511269,83.5,83.5
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",46,0.4924249996244907,83.5,83.5
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",47,0.5074494536966085,83.5,83.5
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",48,0.49098695762455463,83.5,83.39999999999999
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",49,0.48514621183276174,83.5,83.5
"Starting LR:0.01, L2Reg:1e-07, Batch Size:32",50,0.4605907517671585,83.5,83.5
Description,epoch,train_loss,train_accuracy,test_accuracy
"Starting LR:0.01, L2Reg:1e-07, Batch Size:64",1,0.897254170179367,71.5,72.6
"Starting LR:0.01, L2Reg:1e-07, Batch Size:64",2,0.8161130484938621,72.1,73.1
"Starting LR:0.01, L2Reg:1e-07, Batch Size:64",3,0.8089310789108276,72.6,73.5
"Starting LR:0.01, L2Reg:1e-07, Batch Size:64",4,0.7795867785811424,73.0,73.9
"Starting LR:0.01, L2Reg:1e-07, Batch Size:64",5,0.783636132478714,72.89999999999999,73.8
"Starting LR:0.01, L2Reg:1e-07, Batch Size:64",6,0.7614185002446174,73.0,73.7
"Starting LR:0.01, L2Reg:1e-07, Batch Size:64",7,0.7486533385515213,73.2,73.9
"Starting LR:0.01, L2Reg:1e-07, Batch Size:64",8,0.7495196270942688,73.4,74.0
"Starting LR:0.01, L2Reg:1e-07, Batch Size:64",9,0.7754700195789337,73.5,74.1
"Starting LR:0.01, L2Reg:1e-07, Batch Size:64",10,0.7393844363093376,73.5,74.2
"Starting LR:0.01, L2Reg:1e-07, Batch Size:64",11,0.7581571635603904,73.7,74.2
"Starting LR:0.01, L2Reg:1e-07, Batch Size:64",12,0.7204053696990013,73.7,74.1
"Starting LR:0.01, L2Reg:1e-07, Batch Size:64",13,0.7288635781407357,73.8,74.2
"Starting LR:0.01, L2Reg:1e-07, Batch Size:64",14,0.7258849722146988,73.8,74.3
