Description,epoch,train_loss,train_accuracy,test_accuracy
"Starting LR:0.01, L2Reg:1e-07",18,1.6690713310241698,44.4,41.199999999999996
"Starting LR:0.01, L2Reg:1e-07",19,1.664399346113205,44.800000000000004,41.6
"Starting LR:0.01, L2Reg:1e-07",20,1.652437973022461,44.7,41.4
"Starting LR:0.01, L2Reg:1e-07",21,1.6676729238033294,44.6,41.3
"Starting LR:0.01, L2Reg:1e-07",22,1.653293696641922,44.9,41.5
"Starting LR:0.01, L2Reg:1e-07",23,1.6472150564193726,44.7,41.6
"Starting LR:0.01, L2Reg:1e-07",24,1.6555958771705628,45.1,41.6
"Starting LR:0.01, L2Reg:1e-07",25,1.6324910950660705,45.2,41.8
"Starting LR:0.01, L2Reg:1e-07",26,1.630019555091858,45.5,41.8
"Starting LR:0.01, L2Reg:1e-07",27,1.6298889982700349,45.4,41.699999999999996
"Starting LR:0.01, L2Reg:1e-07",28,1.6369238829612731,45.4,41.699999999999996
"Starting LR:0.01, L2Reg:1e-07",29,1.6317020571231842,45.5,41.9
"Starting LR:0.01, L2Reg:1e-07",30,1.6276402795314788,45.5,41.9
"Starting LR:0.01, L2Reg:1e-07",31,1.637331144809723,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",32,1.6486172699928283,45.5,41.8
"Starting LR:0.01, L2Reg:1e-07",33,1.6263955640792847,45.5,41.699999999999996
"Starting LR:0.01, L2Reg:1e-07",34,1.6286241495609284,45.6,41.8
"Starting LR:0.01, L2Reg:1e-07",35,1.6304640913009643,45.5,41.8
"Starting LR:0.01, L2Reg:1e-07",36,1.605146757364273,45.5,41.8
"Starting LR:0.01, L2Reg:1e-07",37,1.6229274451732636,45.4,42.0
"Starting LR:0.01, L2Reg:1e-07",38,1.6280284905433655,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",39,1.6433850824832916,45.5,41.8
"Starting LR:0.01, L2Reg:1e-07",40,1.6274122834205627,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",41,1.6266689610481262,45.5,41.8
"Starting LR:0.01, L2Reg:1e-07",42,1.6328762018680572,45.5,41.9
"Starting LR:0.01, L2Reg:1e-07",43,1.6246390593051911,45.6,41.8
"Starting LR:0.01, L2Reg:1e-07",44,1.6222143542766572,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",45,1.6252281403541564,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",46,1.6202957141399383,45.6,41.8
"Starting LR:0.01, L2Reg:1e-07",47,1.6204703080654144,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",48,1.6293632864952088,45.7,41.8
"Starting LR:0.01, L2Reg:1e-07",49,1.643883181810379,45.6,41.6
"Starting LR:0.01, L2Reg:1e-07",50,1.640268039703369,45.6,41.8
"Starting LR:0.01, L2Reg:1e-07",51,1.6323087620735168,45.6,41.8
"Starting LR:0.01, L2Reg:1e-07",52,1.6425024855136872,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",53,1.6198146283626556,45.6,41.8
"Starting LR:0.01, L2Reg:1e-07",54,1.6452230572700501,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",55,1.6148318231105805,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",56,1.6371598589420318,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",57,1.6262349367141724,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",58,1.6209626269340516,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",59,1.6188978815078736,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",60,1.618764852285385,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",61,1.6374011409282685,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",62,1.6295611095428466,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",63,1.6281795942783355,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",64,1.6271868062019348,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",65,1.6334530305862427,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",66,1.612569921016693,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",67,1.6324119400978088,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",68,1.629150426387787,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",69,1.6341645216941834,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",70,1.6208359897136688,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",71,1.619959112405777,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",72,1.629103933572769,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",73,1.6281706941127778,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",74,1.647402685880661,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",75,1.6311677265167237,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",76,1.6270872473716735,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",77,1.6159051406383513,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",78,1.6361867022514343,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",79,1.6188756394386292,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",80,1.6275024557113646,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",81,1.620479507446289,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",82,1.6258177423477174,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",83,1.6389004015922546,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",84,1.6130390071868896,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",85,1.623797436952591,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",86,1.6330521619319915,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",87,1.6251677060127259,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",88,1.6458661937713623,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",89,1.6350324082374572,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",90,1.6135111927986145,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",91,1.6130548119544983,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",92,1.6356868398189546,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",93,1.6318208873271942,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",94,1.6128462207317353,45.6,41.9
"Starting LR:0.01, L2Reg:1e-07",95,1.627503024339676,45.6,41.9
