Description,epoch,train_loss,train_accuracy,test_accuracy
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",37,2.031108411550522,22.400000000000002,19.1
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",38,2.030705757141113,22.900000000000002,19.8
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",39,2.0317331671714784,23.1,19.900000000000002
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",40,2.0337887513637543,22.7,19.2
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",41,2.0263112604618074,23.599999999999998,20.3
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",42,2.023073444366455,23.599999999999998,20.4
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",43,2.003742650747299,23.599999999999998,20.3
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",44,2.0143582046031954,23.3,19.5
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",45,2.0008770561218263,23.400000000000002,19.400000000000002
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",46,2.0006748950481414,23.5,19.6
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",47,2.0108659684658052,23.599999999999998,19.7
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",48,2.005985769033432,23.9,20.4
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",49,2.0026871728897095,24.099999999999998,20.200000000000003
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",50,2.008439860343933,24.2,20.3
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",51,1.975250631570816,24.4,20.4
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",52,1.9731209671497345,24.5,20.5
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",53,1.9639297115802765,24.4,20.3
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",54,1.9693515157699586,24.4,20.5
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",55,1.970595237016678,24.5,20.4
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",56,1.9728483772277832,24.5,20.5
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",57,1.9631205272674561,24.5,20.4
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",58,1.9644723904132844,24.5,20.5
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",59,1.9722542619705201,24.5,20.7
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",60,1.9680911302566528,24.6,20.7
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",61,1.975143976211548,24.6,20.599999999999998
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",62,1.968040838241577,24.5,20.599999999999998
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",63,1.9596508944034576,24.5,20.3
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",64,1.9796454906463623,24.6,20.7
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",65,1.9711811316013337,24.6,20.599999999999998
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",66,1.9555919992923736,24.6,20.5
"Optimizer: Adam, Starting LR:0.01, L2Reg:1e-05, Batch size: 128",67,1.9741868710517883,24.6,20.599999999999998
